CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
DDOST	DDOST	DDOST	DDOST	DDOST
KIF17	KIF17	KIF17	KIF17	KIF17
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3
ECE1	ECE1	ECE1	ECE1	ECE1
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3
ALPL	ALPL	ALPL	ALPL	ALPL
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A
CDC42	CDC42	CDC42	CDC42	CDC42
WNT4	WNT4	WNT4	WNT4	WNT4
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8
C1QA	C1QA	C1QA	C1QA	C1QA
C1QC	C1QC	C1QC	C1QC	C1QC
C1QB	C1QB	C1QB	C1QB	C1QB
EPHB2	EPHB2	EPHB2	EPHB2	EPHB2
HTR1D	HTR1D	HTR1D	HTR1D	HTR1D
HNRNPR	HNRNPR	HNRNPR	HNRNPR	HNRNPR
ZNF436	ZNF436	ZNF436	ZNF436	ZNF436
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3
E2F2	E2F2	E2F2	E2F2	E2F2
ID3	ID3	ID3	ID3	ID3
RPL11	RPL11	RPL11	RPL11	RPL11
TCEB3	TCEB3	TCEB3	TCEB3	TCEB3
PITHD1	PITHD1	PITHD1	PITHD1	PITHD1
LYPLA2	LYPLA2	LYPLA2	LYPLA2	LYPLA2
GALE	GALE	GALE	GALE	GALE
HMGCL	HMGCL	HMGCL	HMGCL	HMGCL
FUCA1	FUCA1	FUCA1	FUCA1	FUCA1
CNR2	CNR2	CNR2	CNR2	CNR2
PNRC2	PNRC2	PNRC2	PNRC2	PNRC2
IL22RA1	IL22RA1	IL22RA1	IL22RA1	IL22RA1
IL28RA	IFNLR1	IFNLR1	IFNLR1	IFNLR1
GRHL3	GRHL3	GRHL3	GRHL3	GRHL3
C1orf201	STPG1	STPG1	STPG1	STPG1
RCAN3	RCAN3	RCAN3	RCAN3	RCAN3
SRRM1	SRRM1	SRRM1	SRRM1	SRRM1
CLIC4	CLIC4	CLIC4	CLIC4	CLIC4
RUNX3	RUNX3	RUNX3	RUNX3	RUNX3
SYF2	SYF2	SYF2	SYF2	SYF2
C1orf63	C1orf63	C1orf63	C1orf63	C1orf63
RHD	RHD	RHD	RHD	RHD
TMEM50A	TMEM50A	TMEM50A	TMEM50A	TMEM50A
MAN1C1	MAN1C1	MAN1C1	MAN1C1	MAN1C1
C1orf135	AUNIP	AUNIP	AUNIP	AUNIP
PAQR7	PAQR7	PAQR7	PAQR7	PAQR7
STMN1	STMN1	STMN1	STMN1	STMN1
PAFAH2	PAFAH2	PAFAH2	PAFAH2	PAFAH2
EXTL1	EXTL1	EXTL1	EXTL1	EXTL1
SLC30A2	SLC30A2	SLC30A2	SLC30A2	SLC30A2
TRIM63	TRIM63	TRIM63	TRIM63	TRIM63
PDIK1L	PDIK1L	PDIK1L	PDIK1L	PDIK1L
ZNF593	ZNF593	ZNF593	ZNF593	ZNF593
CNKSR1	CNKSR1	CNKSR1	CNKSR1	CNKSR1
CEP85	CEP85	CEP85	CEP85	CEP85
SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3
ZNF683	ZNF683	ZNF683	ZNF683	ZNF683
LIN28A	LIN28A	LIN28A	LIN28A	LIN28A
DHDDS	DHDDS	DHDDS	DHDDS	DHDDS
HMGN2	HMGN2	HMGN2	HMGN2	HMGN2
RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1
ARID1A	ARID1A	ARID1A	ARID1A	ARID1A
PIGV	PIGV	PIGV	PIGV	PIGV
SFN	SFN	SFN	SFN	SFN
GPN2	GPN2	GPN2	GPN2	GPN2
GPATCH3	GPATCH3	GPATCH3	GPATCH3	GPATCH3
NR0B2	NR0B2	NR0B2	NR0B2	NR0B2
NUDC	NUDC	NUDC	NUDC	NUDC
C1orf172	C1orf172	C1orf172	C1orf172	C1orf172
FAM46B	FAM46B	FAM46B	FAM46B	FAM46B
SLC9A1	SLC9A1	SLC9A1	SLC9A1	SLC9A1
WDTC1	WDTC1	WDTC1	WDTC1	WDTC1
TMEM222	TMEM222	TMEM222	TMEM222	TMEM222
SYTL1	SYTL1	SYTL1	SYTL1	SYTL1
MAP3K6	MAP3K6	MAP3K6	MAP3K6	MAP3K6
FCN3	FCN3	FCN3	FCN3	FCN3
CD164L2	CD164L2	CD164L2	CD164L2	CD164L2
GPR3	GPR3	GPR3	GPR3	GPR3
WASF2	WASF2	WASF2	WASF2	WASF2
FGR	FGR	FGR	FGR	FGR
IFI6	IFI6	IFI6	IFI6	IFI6
FAM76A	FAM76A	FAM76A	FAM76A	FAM76A
STX12	STX12	STX12	STX12	STX12
PPP1R8	PPP1R8	PPP1R8	PPP1R8	PPP1R8
RPA2	RPA2	RPA2	RPA2	RPA2
XKR8	XKR8	XKR8	XKR8	XKR8
EYA3	EYA3	EYA3	EYA3	EYA3
PTAFR	PTAFR	PTAFR	PTAFR	PTAFR
ATPIF1	ATPIF1	ATPIF1	ATPIF1	ATPIF1
SESN2	SESN2	SESN2	SESN2	SESN2
MED18	MED18	MED18	MED18	MED18
RCC1	RCC1	RCC1	RCC1	RCC1
TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP
RAB42	RAB42	RAB42	RAB42	RAB42
TAF12	TAF12	TAF12	TAF12	TAF12
GMEB1	GMEB1	GMEB1	GMEB1	GMEB1
OPRD1	OPRD1	OPRD1	OPRD1	OPRD1
EPB41	EPB41	EPB41	EPB41	EPB41
SRSF4	SRSF4	SRSF4	SRSF4	SRSF4
PTPRU	PTPRU	PTPRU	PTPRU	PTPRU
MATN1	MATN1	MATN1	MATN1	MATN1
LAPTM5	LAPTM5	LAPTM5	LAPTM5	LAPTM5
PUM1	PUM1	PUM1	PUM1	PUM1
NKAIN1	NKAIN1	NKAIN1	NKAIN1	NKAIN1
SNRNP40	SNRNP40	SNRNP40	SNRNP40	SNRNP40
ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17
FABP3	FABP3	FABP3	FABP3	FABP3
TINAGL1	TINAGL1	TINAGL1	TINAGL1	TINAGL1
HCRTR1	HCRTR1	HCRTR1	HCRTR1	HCRTR1
